hours,mean,std,count
50,2.6460597149909337,0.1898554073076074,485
100,2.4457504668581875,0.1424537104721464,485
250,2.7686675322561984,0.17167811310675363,485
500,2.7366344758984797,0.1822172652883893,485
1000,2.947355077458035,0.27802619612191287,485
1500,3.2139992178336247,0.3098333518613656,485
