component,hours_compared,wins_mix_better,losses_mix_worse,ties,mean_delta_wer_norm,mean_delta_secs
flow_hifigan,6,2,4,0,0.05312243364867678,0.08071768221717023
flow_only,6,3,3,0,0.014676242771554845,0.03432750172456247
full_finetuned,6,1,5,0,0.7689947911151265,0.08188583805066811
hifigan_only,6,4,2,0,-1.580208244131562,-0.0020023258776731188
llm_flow,6,0,6,0,1.013588136957412,0.03437762930149497
llm_hifigan,6,2,4,0,0.3408457151143696,0.000989937004278287
llm_only,6,1,5,0,1.0123705941434258,-0.003137199317416397
pretrained,6,4,2,0,0.4222481137509509,-0.002642509324960481
