pair,system,hour,which,wer_mu,secs_mu,mcd_mu,f0_corr_mu,vuv_mu,rtf_mu,f0_rmse_hz_mu,wer_sd,secs_sd,mcd_sd,f0_corr_sd,vuv_sd,rtf_sd,f0_rmse_hz_sd,wer_delta,secs_delta,mcd_delta,f0_corr_delta,vuv_delta,rtf_delta,f0_rmse_hz_delta
XTTS2,XTTS2,0,baseline,8.965018804526087,0.20279589037709508,6.685955164412014,0.6765275316506525,47.996213748669675,0.4215439763214101,29.692989111856285,15.785352013576443,0.09123451038132503,0.6721577231258821,0.20398260489908093,7.250089021896859,0.1085782061651956,13.89166640148481,,,,,,,
XTTS2,Ours (anchored),250,ours,8.77295848603556,0.23981599617049454,8.584257734642796,0.6869373959259266,42.25838322154784,2.4341070250024255,29.086058983931995,15.571744725020361,0.10078551571289271,0.650025929301384,0.20825835871765686,7.781479544422887,0.149114125255239,15.814597262390855,-0.19206031849052785,0.037020105793399455,1.8983025702307819,0.010409864275274128,-5.737830527121837,2.0125630486810153,-0.60693012792429
ElevenLabs,ElevenLabs,0,baseline,9.499780643952786,0.27583761352547054,7.765395762937184,0.6426623757499567,42.68819242382759,0.10342580433376206,30.153110193713108,14.738626688118444,0.12290725702781707,0.8315719140029636,0.24354328492167246,7.501415094229688,0.06099565478134884,16.515564280150237,,,,,,,
ElevenLabs,Ours (anchored),250,ours,8.77295848603556,0.23981599617049454,8.584257734642796,0.6869373959259266,42.25838322154784,2.4341070250024255,29.086058983931995,15.571744725020361,0.10078551571289271,0.650025929301384,0.20825835871765686,7.781479544422887,0.149114125255239,15.814597262390855,-0.7268221579172263,-0.036021617354976,0.8188619717056111,0.04427502017596996,-0.42980920227974906,2.3306812206686636,-1.0670512097811127
Fish Speech,Fish Speech,0,baseline,15.88908543340717,0.16094006466603356,7.433475125717736,0.6564183973267018,41.23897436873349,0.5349018756990501,29.286375781380166,20.102341353132545,0.10613299196468934,0.6847154655618286,0.21325731787353125,7.296354788634854,0.36090745768338967,15.234232223022065,,,,,,,
Fish Speech,Ours (anchored),250,ours,8.77295848603556,0.23981599617049454,8.584257734642796,0.6869373959259266,42.25838322154784,2.4341070250024255,29.086058983931995,15.571744725020361,0.10078551571289271,0.650025929301384,0.20825835871765686,7.781479544422887,0.149114125255239,15.814597262390855,-7.11612694737161,0.07887593150446098,1.1507826089250592,0.0305189985992248,1.019408852814351,1.8992051493033753,-0.20031679744817055
CosyVoice2 (orig.),CosyVoice2 (orig.),250,baseline,50.590510825479775,0.1488990005531827,9.659908622916937,0.6118952237087483,45.2901573000035,2.642380471080267,30.96447324586,25.056081216235594,0.10292281437538425,0.8029877494753329,0.21584749051543223,6.9964105360280495,0.4602148942385922,16.148752101140175,,,,,,,
CosyVoice2 (orig.),Ours (anchored),250,ours,8.77295848603556,0.23981599617049454,8.584257734642796,0.6869373959259266,42.25838322154784,2.4341070250024255,29.086058983931995,15.571744725020361,0.10078551571289271,0.650025929301384,0.20825835871765686,7.781479544422887,0.149114125255239,15.814597262390855,-41.81755233944422,0.09091699561731184,-1.0756508882741418,0.07504217221717835,-3.031774078455662,-0.20827344607784148,-1.878414261928004
