model,hours,wer_mean,wer_std,secs_mean,secs_std,mcd_mean,mcd_std,f0_corr_mean,f0_corr_std,vuv_mean,vuv_std,rtf_mean,rtf_std,f0_rmse_hz_mean,f0_rmse_hz_std,delta_wer
pretrained,250,53.163386746904116,27.5018634761938,0.23351009570370743,0.10659847571401786,8.385066639277419,0.5963949704538458,0.6243403889997285,0.20599882379088658,44.28662178867751,6.825631729564188,2.6317215026796745,0.45453560341465193,31.150596636269178,15.067795616560783,1.6372032017830875
flow_only,250,51.72456941598393,25.861820133149653,0.24443791854351365,0.10488135431476564,8.626353341344892,0.6139687462673546,0.641621024872997,0.2155849263018219,45.31554783381321,7.369758884815371,2.399857213557249,0.2885489517600159,31.589412290097908,17.885188120912016,0.19838587086290005
hifigan_only,250,51.52618354512103,23.696167859239548,0.1484320807062105,0.10415919472612147,9.671812396911228,0.7989040892153524,0.6164499479009328,0.20798151903073375,45.28371820911938,6.646238718495173,2.442702636346302,0.4108944494493725,30.912904778392782,15.94542708296497,0.0
flow_hifigan,250,49.67479422518737,24.92899126622229,0.160922075989991,0.09945439986789902,9.925821241858074,0.8415632820902677,0.6670034621093306,0.2111728299154654,44.54091334008375,7.328964793256578,2.4817957724609157,0.32000520740151006,28.153571128396013,15.412897608436277,-1.8513893199336593
llm_only,250,10.47549545288711,14.946450050432624,0.3020096407668231,0.11947718651954742,7.796635497901689,0.5638125310481253,0.6198479095281514,0.22812657221290686,41.75916359125513,7.393878350841144,2.4447159264489855,0.15527049613113725,36.35661319292179,19.7887648810765,-41.05068809223392
llm_hifigan,250,9.762599711245151,13.670786421492178,0.23990717877607426,0.11189703610367369,8.597565263325727,0.7176656344393544,0.6490293887408279,0.21510767155688787,41.826957665086056,7.667935388359544,2.471998842182422,0.17793524290491972,32.01762104855117,16.965248465835412,-41.76358383387588
llm_flow,250,9.66818233849956,15.675127829941662,0.3118323676942408,0.10976752863817328,7.755124425949735,0.5463867896391967,0.6438934881156204,0.217055861955597,41.675202018049966,8.07185085720828,2.4255836298299105,0.14629586369815065,34.19211634137373,18.753897491616687,-41.858001206621466
full_finetuned,250,8.77295848603556,15.571744725020361,0.23981599617049454,0.10078551571289271,8.584257734642796,0.650025929301384,0.6869373959259266,0.20825835871765686,42.25838322154784,7.781479544422887,2.4341070250024255,0.149114125255239,29.086058983931995,15.814597262390855,-42.753225059085466
