system,wer_fr,secs_fr,mcd_fr,rtf_fr,f0_rmse_hz_fr,f0_corr_fr,vuv_fr,wer_de,secs_de,mcd_de,rtf_de,f0_rmse_hz_de,f0_corr_de,vuv_de
CosyVoice2 (orig.),50.590510825479775,0.1488990005531827,9.659908622916937,2.642380471080267,30.96447324586,0.6118952237087483,45.2901573000035,65.86585388999735,0.1357280414129187,8.827691381413736,2.7291596995663068,44.15194029632813,0.5032952091851692,46.96290800247702
XTTS2,8.965018804526087,0.20279589037709508,6.685955164412014,0.4215439763214101,29.692989111856285,0.6765275316506525,47.996213748669675,7.374321872122672,0.23132970870172215,7.446788239520174,0.37565913813237156,53.68602967456666,0.4712412840315563,48.68051573437708
ElevenLabs,9.499780643952786,0.27583761352547054,7.765395762937184,0.10342580433376206,30.153110193713108,0.6426623757499567,42.68819242382759,3.9782579140831698,0.28920286593834843,7.964630703886869,0.10801647748131873,46.92655187884064,0.5467479417674094,44.79067257930718
Fish Speech,15.88908543340717,0.16094006466603356,7.433475125717736,0.5349018756990501,29.286375781380166,0.6564183973267018,41.23897436873349,8.33436408300867,0.17459624273672203,7.4984467525668945,0.5653698455798598,49.444432506779954,0.5357661188502152,44.57005861565245
Ours (anchored),8.77295848603556,0.23981599617049454,8.584257734642796,2.4341070250024255,29.086058983931995,0.6869373959259266,42.25838322154784,6.033176532420049,0.2528884756610531,7.751557874499525,2.7366344758984797,48.67335786674989,0.5257616548769523,42.96597493724641
