hours,wer_norm_mono,wer_norm_mix,delta_wer_norm,secs_mono,secs_mix,delta_secs
50,8.994651093558485,9.480468560512792,0.48581746695430716,0.2968782128684376,0.2856313293196371,-0.01124688354880049
100,9.981538455104204,9.028418960733658,-0.9531194943705454,0.19194405025171568,0.30925184047098053,0.11730779021926485
250,8.77295848603556,10.059754627800176,1.2867961417646168,0.23981599617049454,0.3425360268133936,0.10272003064289909
500,9.186623490017714,9.717258617569263,0.5306351275515482,0.23550534678533988,0.32596336308398255,0.09045801629864267
1000,9.236957720676735,11.13423305990376,1.8972753392270256,0.24245563932836672,0.3342859244098287,0.09183028508146196
1500,10.684880749787789,12.051444915351595,1.3665641655638066,0.2406359988499216,0.3408817884604622,0.10024578961054059
