pair,system,hour,which,wer_mu,secs_mu,mcd_mu,f0_corr_mu,vuv_mu,rtf_mu,f0_rmse_hz_mu,wer_sd,secs_sd,mcd_sd,f0_corr_sd,vuv_sd,rtf_sd,f0_rmse_hz_sd,wer_delta,secs_delta,mcd_delta,f0_corr_delta,vuv_delta,rtf_delta,f0_rmse_hz_delta
XTTS2,XTTS2,0,baseline,7.374321872122672,0.23132970870172215,7.446788239520174,0.4712412840315563,48.68051573437708,0.37565913813237156,53.68602967456666,22.541847821927448,0.10450917460046938,0.8306899424826704,0.3845722881239618,8.292054289913589,0.1190229941504991,43.91629597173851,,,,,,,
XTTS2,Ours (anchored),500,ours,6.033176532420049,0.2528884756610531,7.751557874499525,0.5257616548769523,42.96597493724641,2.7366344758984797,48.67335786674989,12.375523783399956,0.0880739678829418,0.8682286006173348,0.3544760770659594,7.965365731019878,0.1822172652883893,41.53859205047767,-1.3411453397026234,0.021558766959330955,0.30476963497935117,0.05452037084539596,-5.714540797130674,2.3609753377661082,-5.012671807816773
ElevenLabs,ElevenLabs,0,baseline,3.9782579140831698,0.28920286593834843,7.964630703886869,0.5467479417674094,44.79067257930718,0.10801647748131873,46.92655187884064,9.256942476581674,0.1000135896678091,1.22852213665176,0.3416275225737472,9.242216247829765,0.07673776749337054,40.09971774201823,,,,,,,
ElevenLabs,Ours (anchored),500,ours,6.033176532420049,0.2528884756610531,7.751557874499525,0.5257616548769523,42.96597493724641,2.7366344758984797,48.67335786674989,12.375523783399956,0.0880739678829418,0.8682286006173348,0.3544760770659594,7.965365731019878,0.1822172652883893,41.53859205047767,2.054918618336879,-0.03631439027729533,-0.21307282938734406,-0.020986286890457118,-1.8246976420607695,2.628617998417161,1.746805987909248
Fish Speech,Fish Speech,0,baseline,8.33436408300867,0.17459624273672203,7.4984467525668945,0.5357661188502152,44.57005861565245,0.5653698455798598,49.444432506779954,14.181270558769084,0.0911888629167495,0.9649698060576255,0.3582332654745562,8.254637409075249,0.4074354353249936,42.067294174691874,,,,,,,
Fish Speech,Ours (anchored),500,ours,6.033176532420049,0.2528884756610531,7.751557874499525,0.5257616548769523,42.96597493724641,2.7366344758984797,48.67335786674989,12.375523783399956,0.0880739678829418,0.8682286006173348,0.3544760770659594,7.965365731019878,0.1822172652883893,41.53859205047767,-2.3011875505886206,0.07829223292433107,0.25311112193263074,-0.010004463973262934,-1.6040836784060417,2.17126463031862,-0.771074640030065
CosyVoice2 (orig.),CosyVoice2 (orig.),500,baseline,65.86585388999735,0.1357280414129187,8.827691381413736,0.5032952091851692,46.96290800247702,2.7291596995663068,44.15194029632813,54.55709951977673,0.0952960397819015,0.8750809425051923,0.3454642004520691,8.183761097273102,0.32717109650147114,34.75176565165546,,,,,,,
CosyVoice2 (orig.),Ours (anchored),500,ours,6.033176532420049,0.2528884756610531,7.751557874499525,0.5257616548769523,42.96597493724641,2.7366344758984797,48.67335786674989,12.375523783399956,0.0880739678829418,0.8682286006173348,0.3544760770659594,7.965365731019878,0.1822172652883893,41.53859205047767,-59.8326773575773,0.11716043424813441,-1.0761335069142106,0.02246644569178302,-3.996933065230614,0.007474776332172972,4.521417570421761
