model,hours,wer_mean,wer_std,secs_mean,secs_std,mcd_mean,mcd_std,f0_corr_mean,f0_corr_std,vuv_mean,vuv_std,rtf_mean,rtf_std,f0_rmse_hz_mean,f0_rmse_hz_std,delta_wer
hifigan_only,500,66.77445780465689,64.80097436647036,0.13668511633616645,0.09718658485368115,8.847257783522645,0.8573616363800394,0.5019304383175853,0.3451309734586992,47.11935235582245,8.115414142247012,2.6880644116483383,0.28779441940573847,44.00372769326719,34.41573695978093,0.0
pretrained,500,66.44511160162574,32.27726873800234,0.18561973931566686,0.09959769939687889,8.115039167258299,0.7531102637052096,0.4415840662213688,0.352715505587939,48.198117005987456,8.614063728205316,2.7150266366328415,0.33916095007133346,50.756690146243365,37.90764632082787,-0.32934620303115025
flow_only,500,65.16053422677513,43.594224430013725,0.21154054448919718,0.10793064733795361,8.222971327692662,0.7299896121524221,0.468084249994557,0.344377113731504,48.00252489362279,7.667636342019576,2.6700978789460117,0.29110167096790657,49.59554738050308,36.12283714021619,-1.6139235778817635
flow_hifigan,500,62.974633453531546,25.377315943960358,0.18072432082942774,0.09639451088331656,8.98468384899018,0.9147510598686627,0.5077303808764299,0.3348761247515273,46.213862587102284,8.366928613067468,2.7498714194903466,0.3216865139990381,44.15952219000085,33.79077676323072,-3.799824351125345
llm_only,500,7.411902858566119,15.946396454133449,0.24805450256041622,0.09866917533065334,7.442011640525944,0.7988947652407135,0.41480140164651125,0.3678221230733032,48.38476963069825,7.704978169566131,2.7041704420054895,0.15177743701921004,57.571349893208094,45.97088752393943,-59.36255494609077
llm_hifigan,500,7.284709007965911,14.690586160778413,0.20868825628242454,0.09220524217914758,7.795921332709783,0.7755087914797621,0.4979396222474428,0.373622650676239,43.95782337368134,8.337171061528931,2.742503299727083,0.1529336498780399,51.54685179303773,43.526864324001664,-59.48974879669098
llm_flow,500,6.556392205724556,12.059288034219938,0.27211986810924926,0.1104874174701761,7.386290227962339,0.8700882750700241,0.45102819486200396,0.36972874933432764,46.41719136653982,8.375707961599018,2.7343548396527653,0.15339595786972504,53.771039944432175,43.76139790045263,-60.218065598932334
full_finetuned,500,6.033176532420049,12.375523783399956,0.2528884756610531,0.0880739678829418,7.751557874499525,0.8682286006173348,0.5257616548769523,0.3544760770659594,42.96597493724641,7.965365731019878,2.7366344758984797,0.1822172652883893,48.67335786674989,41.53859205047767,-60.74128127223684
