component,hours_compared,wins_mix_better,losses_mix_worse,ties,mean_delta_wer_norm,mean_delta_secs
flow_hifigan,6,3,3,0,-2.033945423012298,0.050374468660672835
flow_only,6,4,2,0,0.5104358248889879,0.021473764751324773
full_finetuned,6,3,3,0,0.44633979363423143,0.03807384523896317
hifigan_only,6,3,3,0,0.7464384075331978,0.0013152600341174946
llm_flow,6,1,5,0,0.35285276114105324,0.026785579890753714
llm_hifigan,6,3,3,0,0.582007878315104,0.00610512823098025
llm_only,6,3,3,0,0.6672366321083715,0.0015269253149252048
pretrained,6,2,4,0,0.9946346431590266,0.0021948997480081556
